Tiempo ,U_YAW,U_PITCH,W_YAW,W_PITCH,YAW,PITCH
0.36,2.632,19.011,-0.027,0.4,0.019,-0.522
0.38,1.842,18.537,-0.041,0.424,0.019,-0.513
0.4,1.206,17.706,-0.045,0.461,0.017,-0.503
0.42,1.711,18.437,-0.045,0.425,0.017,-0.497
0.44,0.249,15.886,-0.044,0.532,0.016,-0.478
0.46,-2.502,13.159,-0.07,0.674,0.014,-0.468
0.48,-1.554,13.681,-0.058,0.63,0.014,-0.456
0.5,-1.058,13.724,-0.047,0.612,0.012,-0.443
0.52,0.454,15.786,-0.044,0.503,0.012,-0.438
0.54,1.069,16.595,-0.043,0.447,0.01,-0.426
0.56,-0.458,14.009,-0.043,0.565,0.01,-0.412
0.58,-1.836,9.938,-0.017,0.741,0.01,-0.393
0.6,-2.029,8.579,-0.003,0.793,0.01,-0.381
