Tiempo ,CORRIENTE,VELOCIDAD,ENTRADA
1.255,0.275,3.388,3.0
1.26,0.319,3.355,3.0
1.265,0.276,3.418,3.0
1.27,0.305,3.388,3.0
1.275,0.333,3.392,3.0
1.28,0.269,3.412,3.0
1.285,0.305,3.385,3.0
1.29,0.301,3.402,3.0
1.295,0.282,3.372,3.0
1.3,0.322,3.415,3.0
1.305,0.279,3.415,3.0
1.31,0.361,3.363,3.0
1.315,0.296,3.447,3.0
1.32,0.27,3.385,3.0
1.325,0.317,3.358,3.0
1.33,0.275,3.422,3.0
1.335,0.292,3.38,3.0
1.34,0.328,3.39,3.0
1.345,0.269,3.42,3.0
1.35,0.305,3.377,3.0
1.355,0.299,3.405,3.0
1.36,0.287,3.38,3.0
1.365,0.324,3.398,3.0
1.37,0.278,3.398,3.0
1.375,0.31,3.372,3.0
1.38,0.299,3.447,3.0
1.385,0.275,3.377,3.0
1.39,0.312,3.372,3.0
1.395,0.278,3.433,3.0
1.4,0.29,3.365,3.0
1.405,0.326,3.395,3.0
1.41,0.266,3.442,3.0
1.415,0.311,3.363,3.0
1.42,0.294,3.425,3.0
1.425,0.269,3.402,3.0
1.43,0.325,3.388,3.0
1.435,0.273,3.405,3.0
1.44,0.306,3.4,3.0
1.445,0.315,3.422,3.0
1.45,0.269,3.398,3.0
1.455,0.304,3.395,3.0
1.46,0.289,3.42,3.0
1.465,0.282,3.368,3.0
1.47,0.32,3.425,3.0
1.475,0.274,3.43,3.0
1.48,0.315,3.338,3.0
1.485,0.294,3.455,3.0
1.49,0.271,3.392,3.0
1.495,0.312,3.358,3.0
1.5,0.273,3.433,3.0
1.505,0.294,3.39,3.0
1.51,0.326,3.39,3.0
1.515,0.271,3.44,3.0
1.52,0.305,3.383,3.0
1.525,0.294,3.415,3.0
1.53,0.269,3.402,3.0
1.535,0.321,3.408,3.0
1.54,0.276,3.405,3.0
1.545,0.298,3.395,3.0
1.55,0.306,3.442,3.0
1.555,0.278,3.392,3.0
1.56,0.308,3.392,3.0
1.565,0.28,3.433,3.0
1.57,0.285,3.365,3.0
1.575,0.319,3.415,3.0
1.58,0.271,3.438,3.0
1.585,0.319,3.355,3.0
1.59,0.287,3.455,3.0
1.595,0.268,3.398,3.0
1.6,0.315,3.37,3.0
1.605,0.269,3.438,3.0
1.61,0.292,3.385,3.0
1.615,0.324,3.395,3.0
1.62,0.267,3.445,3.0
1.625,0.301,3.385,3.0
1.63,0.294,3.412,3.0
1.635,0.269,3.408,3.0
1.64,0.323,3.41,3.0
1.645,0.276,3.405,3.0
1.65,0.303,3.402,3.0
1.655,0.303,3.442,3.0
1.66,0.272,3.392,3.0
1.665,0.306,3.398,3.0
1.67,0.28,3.43,3.0
1.675,0.282,3.368,3.0
1.68,0.322,3.422,3.0
1.685,0.27,3.44,3.0
1.69,0.322,3.342,3.0
1.695,0.292,3.453,3.0
1.7,0.269,3.4,3.0
1.705,0.312,3.368,3.0
1.71,0.266,3.435,3.0
1.715,0.294,3.39,3.0
1.72,0.298,3.398,3.0
1.725,0.261,3.445,3.0
1.73,0.318,3.38,3.0
1.735,0.292,3.428,3.0
1.74,0.269,3.408,3.0
1.745,0.321,3.395,3.0
1.75,0.257,3.415,3.0
1.755,0.294,3.412,3.0
1.76,0.298,3.428,3.0
1.765,0.266,3.418,3.0
1.77,0.304,3.412,3.0
1.775,0.271,3.42,3.0
1.78,0.276,3.388,3.0
1.785,0.315,3.428,3.0
1.79,0.266,3.42,3.0
1.795,0.312,3.39,3.0
1.8,0.292,3.47,3.0
1.805,0.269,3.392,3.0
1.81,0.312,3.392,3.0
1.815,0.259,3.447,3.0
1.82,0.289,3.372,3.0
1.825,0.306,3.405,3.0
1.83,0.264,3.453,3.0
1.835,0.282,3.355,3.0
1.84,0.274,3.457,3.0
1.845,0.266,3.415,3.0
1.85,0.282,3.388,3.0
1.855,0.25,3.46,3.0
1.86,0.269,3.41,3.0
1.865,0.319,3.428,3.0
1.87,0.266,3.47,3.0
1.875,0.313,3.377,3.0
1.88,0.287,3.453,3.0
1.885,0.265,3.422,3.0
1.89,0.326,3.38,3.0
1.895,0.25,3.435,3.0
1.9,0.294,3.412,3.0
1.905,0.326,3.412,3.0
1.91,0.261,3.45,3.0
1.915,0.301,3.405,3.0
1.92,0.275,3.428,3.0
1.925,0.269,3.418,3.0
1.93,0.322,3.412,3.0
1.935,0.258,3.418,3.0
1.94,0.299,3.415,3.0
1.945,0.283,3.44,3.0
1.95,0.262,3.44,3.0
1.955,0.271,3.418,3.0
1.96,0.273,3.44,3.0
1.965,0.257,3.435,3.0
1.97,0.272,3.438,3.0
1.975,0.255,3.438,3.0
1.98,0.284,3.44,3.0
1.985,0.28,3.455,3.0
1.99,0.26,3.445,3.0
1.995,0.34,3.43,3.0
2.0,0.299,3.428,3.0
